,barcode,n_genes,percent_mito,n_counts,desc_0.8,max.prob0.8
GSM1594592,GSM1594592,43799,0.0,203041.1,7,0.42510843
GSM1594593,GSM1594593,43799,0.0,203744.75,7,0.35483176
GSM1594594,GSM1594594,43799,0.0,201907.25,7,0.35654807
GSM1594595,GSM1594595,43799,0.0,201140.48,7,0.45973626
GSM1594596,GSM1594596,43799,0.0,200894.06,7,0.482513
GSM1594597,GSM1594597,43799,0.0,200241.08,7,0.35516578
GSM1594598,GSM1594598,43799,0.0,200709.6,9,0.55058146
GSM1594599,GSM1594599,43799,0.0,201584.05,9,0.5554008
GSM1594600,GSM1594600,43799,0.0,199913.88,2,0.53423303
GSM1594601,GSM1594601,43799,0.0,201075.4,4,0.5080241
GSM1594602,GSM1594602,43799,0.0,200171.03,4,0.4853765
GSM1594603,GSM1594603,43799,0.0,202404.47,7,0.45857418
GSM1594604,GSM1594604,43799,0.0,202941.31,9,0.5417297
GSM1594605,GSM1594605,43799,0.0,201717.2,4,0.5020534
GSM1594606,GSM1594606,43799,0.0,200288.78,1,0.2845666
GSM1594607,GSM1594607,43799,0.0,201060.58,2,0.52592826
GSM1594608,GSM1594608,43799,0.0,199685.11,13,0.52962524
GSM1594609,GSM1594609,43799,0.0,202269.81,1,0.4050327
GSM1594610,GSM1594610,43799,0.0,200736.38,4,0.48417687
GSM1594611,GSM1594611,43799,0.0,200970.11,6,0.38893437
GSM1594612,GSM1594612,43799,0.0,203423.55,8,0.21886218
GSM1594613,GSM1594613,43799,0.0,204461.48,12,0.40934587
GSM1594614,GSM1594614,43799,0.0,202916.53,12,0.556502
GSM1594615,GSM1594615,43799,0.0,200121.72,8,0.2735786
GSM1594616,GSM1594616,43799,0.0,200025.38,12,0.5465576
GSM1594617,GSM1594617,43799,0.0,200655.31,0,0.17473663
GSM1594618,GSM1594618,43799,0.0,201976.06,0,0.2918353
GSM1594619,GSM1594619,43799,0.0,201179.53,11,0.5065281
GSM1594620,GSM1594620,43799,0.0,200756.98,4,0.5120314
GSM1594621,GSM1594621,43799,0.0,201800.95,13,0.51640147
GSM1594622,GSM1594622,43799,0.0,200600.95,4,0.5080064
GSM1594623,GSM1594623,43799,0.0,200696.22,11,0.4419307
GSM1594624,GSM1594624,43799,0.0,200796.05,4,0.5108793
GSM1594625,GSM1594625,43799,0.0,201011.08,2,0.532041
GSM1594626,GSM1594626,43799,0.0,198804.0,0,0.44104472
GSM1594627,GSM1594627,43799,0.0,200194.11,2,0.5349063
GSM1594628,GSM1594628,43799,0.0,200254.81,4,0.50827765
GSM1594629,GSM1594629,43799,0.0,200896.7,2,0.47942036
GSM1594630,GSM1594630,43799,0.0,201661.02,9,0.5502425
